公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
上海一起作业信息科技有限公司,一起教育科技,北京,2000人以上,本科,3-5年,15k-30k,上市公司,全职,企业福利 平台 发展空间 团队氛围,资深python开发工程师,"""节日礼物"",""岗位晋升"",""扁平管理"",""领导好"""
北京国双科技有限公司,Gridsum 国双,北京,500-2000人,本科,5-10年,20k-30k,上市公司,全职,大数据人工智能、绩效奖金、技术牛人,python,"""节日礼物"",""年底双薪"",""带薪年假"",""午餐补助"""
北京音悦荚科技有限责任公司,音悦荚,北京,50-150人,大专,3-5年,30k-50k,A轮,全职,"玩音乐,期权,弹性工作,晋升空间大",招聘主管,"""年底双薪"",""绩效奖金"",""带薪年假"",""全额五险一金"""
深圳市傲冠软件股份有限公司,傲冠软件,深圳,150-500人,大专,1-3年,10k-20k,上市公司,全职,五险一金 年终分红 带薪年假 定期体检,招聘者,"""五险一金"",""股票期权"",""定期体检"",""带薪年假"""
花又生（北京）科技有限公司,ROXE,北京,50-150人,本科,3-5年,25k-38k,不需要融资,全职,轻松开放的办公环境 技术氛围浓厚,HR,
成都睿畜电子科技有限公司上海分公司,睿畜科技,上海,50-150人,本科,1-3年,9k-15k,A轮,全职,python,人事经理,
北京格上富信基金销售有限公司,格上富信,北京,150-500人,本科,3-5年,15k-30k,不需要融资,全职,扁平化管理，年度体检，周末双休,HR,
深圳市华里网络科技有限公司,华里网络,深圳,50-150人,大专,3-5年,10k-15k,不需要融资,全职,长期稳定 下午茶 年终奖 项目奖,HR,
易居（中国）企业管理集团有限公司,易居中国,上海,2000人以上,本科,3-5年,25k-30k,上市公司,全职,"上市公司,发展空间大,创新项目",招聘经理,
阿基米米科技（北京）有限公司,阿基米米,北京,50-150人,本科,1-3年,15k-20k,A轮,全职,五险一金、带薪年假、大牛带队,,"""股票期权"",""扁平管理"",""岗位晋升"",""领导好"""
郑州创恒实业有限公司,郑州创恒实业有限公司,郑州,150-500人,本科,1-3年,7k-10k,未融资,全职,高级,HR,"""年底双薪"",""节日礼物"",""技能培训"",""绩效奖金"""
北京字节跳动网络技术有限公司,字节跳动,北京,2000人以上,本科,1-3年,25k-50k,D轮及以上,全职,"下午茶,健身瑜伽,六险一金,股票期权",,"""扁平管理"",""弹性工作"",""就近租房补贴"",""六险一金"""
上海倾听信息技术有限公司,蜻蜓FM,北京,150-500人,本科,1-3年,20k-40k,D轮及以上,全职,发展前景优，工作氛围轻松,HRM,"""明星直播"",""男女1:1"",""带薪年假"",""扁平管理"""
广州医鹭久歌医疗器械有限公司,医鹭久歌,广州,50-150人,大专,3-5年,16k-25k,A轮,全职,周末双休，团队氛围良好，上级领导技术过硬。,HR,"""带薪年假"",""五险双休"",""年轻有活力"",""工作氛围好"""
杭州初灵信息技术股份有限公司,初灵信息,成都,500-2000人,本科,3-5年,8k-15k,上市公司,全职,周末双休/弹性工作/年底双薪/氛围融洽,技术总监,"""午餐补助"",""年度旅游"",""带薪年假"",""年底双薪"""
威讯柏睿数据科技（北京）有限公司,柏睿数据,北京,50-150人,本科,3-5年,15k-25k,C轮,全职,大数据 多绩效 C轮,招聘者,"""股票期权"",""专项奖金"",""带薪年假"",""弹性工作"""
北京鸿盈信息技术有限公司,360,北京,2000人以上,本科,3-5年,18k-35k,上市公司,全职,六险一金 弹性时间 理发按摩 12天以上年假,hr,"""专项奖金"",""年底双薪"""
上海思贤信息技术有限公司,思贤科技,上海,50-150人,本科,5-10年,16k-30k,B轮,全职,薪资高；发展前景好；人工智能大数据行业,Python爬虫工程师/架构师,"""技能培训"",""绩效奖金"",""岗位晋升"",""管理规范"""
上海意派信息科技有限公司,意派科技(epub360),上海,15-50人,本科,1-3年,13k-18k,未融资,全职,五险一金、直接服务品牌客户、参与大型项目,Python助教,"""年底双薪"",""扁平管理"",""弹性工作"",""绩效奖金"""
达而观信息科技（上海）有限公司,达观数据,苏州,150-500人,大专,在校/应届,8k-15k,B轮,全职,六险一金 年假多多 AI项目 专业培训,python开发工程师/GO开发工程师,"""AI人工智能"",""NLP"",""技术领先"",""市场口碑佳"""
上海骞云信息科技有限公司,CloudChef,上海,50-150人,本科,3-5年,15k-30k,B轮,全职,"带薪年假,五险一金,团建旅游,补充公积金",python开发工程师,"""股票期权"",""带薪年假"",""定期体检"",""弹性工作"""
广东百捷教育投资有限公司,百捷教育投资,广州,50-150人,大专,1-3年,9k-13k,未融资,全职,发展前景良好，团队实力雄厚。,高级python开发工程师(J10682),
因诺（上海）资产管理有限公司,因诺,北京,15-50人,硕士,3-5年,25k-35k,不需要融资,全职,"扁平管理,牛人团队,绩效奖金,六险一金",Python 开发工程师,"""扁平管理"",""技能培训"",""领导好"",""弹性工作"""
北京向上一心科技有限公司,老虎集团,北京,500-2000人,不限,不限,18k-30k,上市公司,全职,美股上市 六险一金 福利齐全 弹性工作,python爬虫工程师,"""绩效奖金"",""年底双薪"",""带薪年假"",""定期体检"""
北京瑞达恒建筑咨询有限公司广州分公司,北京瑞达恒建筑咨询有限公司广州分公司,上海,500-2000人,本科,1-3年,10k-18k,未融资,全职,架构领先，敏捷管理，技术栈领先，培训完善,python开发工程师,"""年底双薪"",""带薪年假"",""年度旅游"",""定期体检"""
深圳市信润富联数字科技有限公司,信润富联,深圳,50-150人,本科,1-3年,12k-23k,不需要融资,全职,公司股东靠谱，发展前景大，多样化的学习环境,python开发工程师,
北京指南针科技发展股份有限公司,北京指南针,北京,500-2000人,本科,1-3年,15k-20k,上市公司,全职,上市公司,高级python开发工程师,"""绩效奖金"",""岗位晋升"",""定期体检"",""五险一金"""
上海泛微网络科技股份有限公司,泛微,上海,2000人以上,本科,1-3年,16k-32k,上市公司,全职,上市公司 免费三餐 员工旅游 每年多次调薪,python架构,"""技能培训"",""带薪年假"",""绩效奖金"",""岗位晋升"""
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,深圳,50-150人,本科,3-5年,15k-25k,B轮,全职,五险一金 双休 节日福利,python爬虫工程师,"""技能培训"",""股票期权"",""带薪年假"",""岗位晋升"""
深圳市虚拟现实技术有限公司,深圳市虚拟现实技术有限公司,深圳,50-150人,大专,5-10年,15k-20k,C轮,全职,五险一金，周末双休，弹性工作，团队氛围轻松,软件开发工程师（python）,"""带薪年假"",""五险一金"",""节假日福利"""
慧科讯业（北京）网络科技有限公司,慧科讯业,北京,500-2000人,本科,5-10年,15k-25k,未融资,全职,五险一金 周末双休 年底双薪,Python 中级开发工程师,"""技能培训"",""节日礼物"",""年底双薪"",""带薪年假"""
薪八达（北京）工程科技有限公司,薪八达科技,北京,50-150人,本科,3-5年,20k-40k,不需要融资,全职,团队氛围佳、发展前景好、福利待遇优,Python 开发工程师,
北京雷石天地电子技术有限公司,北京雷石公司,北京,150-500人,本科,3-5年,20k-40k,A轮,全职,年终奖金 补充医疗 发展空间,python,
升宝节能技术（上海）有限公司,外资-升宝,上海,50-150人,本科,1-3年,15k-25k,B轮,全职,扁平化管理、绩效薪资、福利假多、五险一金,HR,"""绩效奖金"",""定期体检"",""弹性工作"",""温暖的大家庭"""
一起长大（上海）信息科技有限公司,一起长大,上海,15-50人,本科,3-5年,15k-25k,A轮,全职,扁平管理 结果导向 分享精神 前沿技术,招聘,"""股票期权"",""带薪年假"",""岗位晋升"",""五险一金"""
一起长大（上海）信息科技有限公司,一起长大,上海,15-50人,本科,1-3年,12k-16k,A轮,全职,扁平管理 结果导向 分享精神 前沿技术,HR,"""股票期权"",""带薪年假"",""岗位晋升"",""五险一金"""
北京四合天地科技有限公司,四合天地,北京,50-150人,本科,1-3年,15k-25k,不需要融资,全职,发展空间大,CEO,
深圳点猫科技有限公司,编程猫,深圳,2000人以上,本科,1-3年,8k-15k,D轮及以上,全职,行业独角兽，团队年轻有趣，撸猫猫,招聘专员,"""扁平管理"",""年终分红"",""带薪年假"",""绩效奖金"""
西安知数云信息科技有限公司,西安知数云信息科技有限公司,西安,少于15人,不限,不限,6k-8k,不需要融资,全职,专注Python爬虫方向,,
上海西井信息科技有限公司,westwell西井科技,上海,150-500人,不限,3-5年,15k-30k,C轮,全职,前沿项目，发展空间巨大,,"""技能培训"",""股票期权"",""带薪年假"",""绩效奖金"""
上海斗象信息科技有限公司,斗象科技,上海,150-500人,本科,5-10年,18k-30k,C轮,全职,上升空间大,,"""节日礼物"",""技能培训"",""股票期权"",""专项奖金"""
上海基分文化传播有限公司,趣头条,上海,500-2000人,本科,3-5年,20k-40k,上市公司,全职,弹性工作，绩效奖金,,"""专项奖金"",""带薪年假"",""弹性工作"",""管理规范"""
深圳市有鱼智能科技有限公司,有鱼智能科技,深圳,150-500人,本科,3-5年,12k-24k,上市公司,全职,"上市公司,福利好,大牛多,发展空间大",HR,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
深圳市有鱼智能科技有限公司,有鱼智能科技,深圳,150-500人,本科,3-5年,12k-24k,上市公司,全职,"上市公司,福利好,大牛多,发展空间大",HR,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
零氪信息技术（北京）有限公司,LinkDoc,北京,500-2000人,本科,1-3年,12k-20k,D轮及以上,全职,工作氛围好，上升空间大,HR,"""年底双薪"",""年终分红"",""带薪年假"",""定期体检"""
北京智海创讯信息技术有限公司,智海创讯,北京,15-50人,本科,1-3年,12k-24k,不需要融资,全职,尽情施展才华，快速成长空间,HR,"""技能培训"",""节日礼物"",""舆情监测"",""绩效奖金"""
成都无糖信息技术有限公司,无糖信息,成都,50-150人,本科,3-5年,10k-14k,A轮,全职,五险一金 平台大 团队氛围年轻,人事专员,"""带薪年假"",""五险一金"",""弹性工作"",""领导好"""
百姓网股份有限公司,百姓网,上海,500-2000人,本科,3-5年,18k-25k,上市公司,全职,希望有创新的人才 上市公司 发展空间大,招聘,"""节日礼物"",""带薪年假"",""租房津贴"",""妹纸美"""
百姓网股份有限公司,百姓网,上海,500-2000人,本科,5-10年,15k-25k,上市公司,全职,创新 上市公司 技术大牛,高级python开发工程师,"""节日礼物"",""带薪年假"",""租房津贴"",""妹纸美"""
德勤企业咨询（上海）有限公司,德勤,上海,2000人以上,本科,1-3年,10k-15k,不需要融资,全职,五险一金，有规划的职业晋升通道,资深Python工程师,"""带薪年假"",""年底双薪"",""定期体检"",""节日礼物"""
北京旷视科技有限公司,旷视MEGVII,北京,500-2000人,本科,3-5年,25k-50k,D轮及以上,全职,核心产品，大牛团队,Python开发工程师---0201,"""科技大牛公司"",""自助三餐"",""年终多薪"",""超长带薪假期"""
上海大岂网络科技有限公司,MoSeeker仟寻,上海,150-500人,本科,1-3年,10k-20k,B轮,全职,福利多多 技术大牛多 超长年假,python爬虫工程师,"""带薪年假"",""年终分红"",""节日礼物"",""技能培训"""
北京鸿盈信息技术有限公司,360,北京,2000人以上,本科,5-10年,25k-30k,上市公司,全职,"平台大,免费三餐,健身房,班车",后端开发工程师（Java、C#、python）,"""专项奖金"",""年底双薪"""
上海思贤信息技术有限公司,思贤科技,上海,50-150人,大专,1-3年,8k-12k,B轮,全职,五险一金 年终奖金 交通补贴 年度旅游,后端开发工程师（Java、C#，Python）,"""技能培训"",""绩效奖金"",""岗位晋升"",""管理规范"""
北京联华信科技有限公司,联华信,北京,50-150人,本科,1-3年,13k-20k,未融资,全职,团队氛围好,python开发工程师,
武汉小安科技有限公司,小安科技,武汉,150-500人,大专,1-3年,10k-15k,A轮,全职,五险一金 年终奖金 每日下午茶,Python高级工程师,"""股票期权"",""绩效奖金"",""扁平管理"",""领导好"""
上海正瀛资产管理有限公司,正瀛资产管理,上海,15-50人,本科,1-3年,12k-18k,未融资,全职,全国头部 技术领先,python爬虫及数据开发工程师,"""年底双薪"",""股票期权"",""绩效奖金"",""年终分红"""
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,南京,150-500人,本科,3-5年,14k-28k,上市公司,全职,项目稳定有钱途,Python,
上海茗日智能科技有限公司,MRS,北京,15-50人,本科,1-3年,12k-23k,A轮,全职,人工智能 、前沿科技 、快速发展机会,Python软件工程师,"""人工智能"",""影响行业"",""技能培训"",""岗位晋升"""
上海茗日智能科技有限公司,MRS,上海,15-50人,本科,1-3年,12k-24k,A轮,全职,人工智能、前沿科技、技术大牛、五险一金,课程设计（Python）,"""人工智能"",""影响行业"",""技能培训"",""岗位晋升"""
深圳市博悦科创科技有限公司,博悦科创,深圳,500-2000人,本科,1-3年,10k-15k,不需要融资,全职,社保七险一金年终奖节日福利旅游团建聚餐,python后端开发工程师,"""年底双薪"",""定期体检"",""绩效奖金"",""技能培训"""
河南原力智能科技有限公司,原力智能,郑州,少于15人,大专,1-3年,5k-7k,未融资,全职,公司对真诚的员工以诚相待,python后端开发工程师,
深圳市一号互联科技有限公司,一号互联,深圳,150-500人,本科,1-3年,12k-20k,不需要融资,全职,投资背景强大，团队氛围好，有转正机会,python中高级开发工程师,"""年底双薪"",""股票期权"",""带薪年假"",""岗位晋升"""
上海基分文化传播有限公司,趣头条,上海,500-2000人,本科,3-5年,20k-40k,上市公司,全职,"五险一金,弹性工作,绩效奖金",python,"""专项奖金"",""带薪年假"",""弹性工作"",""管理规范"""
深圳佑驾创新科技有限公司,MINIEYE,深圳,150-500人,本科,1-3年,15k-30k,C轮,全职,"无人驾驶,海归团队,车厂合作,扁平管理",HR,"""无人驾驶"",""国际标准"",""车厂合作"",""海归团队"""
上海走走信息科技有限公司,走走中国,上海,15-50人,本科,3-5年,20k-40k,不需要融资,全职,晋升空间；福利完善；年假多；团队年轻,招聘主管,"""年底双薪"",""带薪年假"",""交通补助"",""午餐补助"""
广州市派客朴食信息科技有限责任公司,派客朴食,广州,150-500人,大专,1-3年,9k-15k,不需要融资,全职,地铁上盖、节假日福利、五险一金,Recruiter,
心灵失重（北京）科技有限公司,糗事百科,深圳,150-500人,本科,3-5年,15k-30k,A轮,全职,老司机来开车,创始人兼CMO,"""媲美名企高薪"",""无限量零食"",""五险一金"",""年度旅游"""
北京融通利达科技有限公司,融通利达,北京,50-150人,本科,不限,20k-40k,不需要融资,全职,多元化的团队，管午晚餐、住房补贴,招聘主管,"""弹性办公"",""可远程办公"",""五险一金"",""住房补贴"""
上海海万信息科技股份有限公司,海万科技,上海,500-2000人,本科,3-5年,14k-20k,不需要融资,全职,"节日礼金,体检旅游,五险一金",人事主管,
亿达信息技术有限公司,亿达信息,深圳,2000人以上,本科,1-3年,11k-15k,上市公司,全职,开发,,
中电金信软件有限公司,中电金信,深圳,2000人以上,本科,3-5年,14k-19k,不需要融资,全职,项目长期稳定， 面试通过率高,Recruiting,"""带薪年假"",""定期体检"",""节日礼物"",""五险一金"""
杭州安恒信息技术股份有限公司,安恒信息,杭州,2000人以上,本科,3-5年,15k-25k,上市公司,全职,五险一金 带薪年假 国内外旅游,HR,"""年终分红"",""股票期权"",""绩效奖金"",""五险一金"""
北京红岸水滴科技发展有限公司,厨芯科技,北京,500-2000人,本科,1-3年,15k-25k,B轮,全职,五险一金 晋升空间大 扁平管理 大牛团队,,"""扁平管理"",""岗位晋升"",""股票期权"""
深圳市前海房极客网络科技有限公司,房极客,深圳,150-500人,本科,1-3年,10k-20k,B轮,全职,高配团队；发展机会；期权激励；扁平管理,招聘官(HR),"""高成长性"",""弹性工作"",""股票期权"",""零食自取"""
杭州安恒信息技术股份有限公司,安恒信息,杭州,2000人以上,本科,3-5年,15k-25k,上市公司,全职,五险一金 带薪年假 国内外旅游,HR,"""年终分红"",""股票期权"",""绩效奖金"",""五险一金"""
上海走走信息科技有限公司,走走中国,上海,15-50人,本科,3-5年,20k-40k,不需要融资,全职,晋升空间；福利完善；年假多；团队年轻,HR,"""年底双薪"",""带薪年假"",""交通补助"",""午餐补助"""
上海晓途网络科技有限公司,信飞数科/信用飞/首付游,上海,150-500人,本科,5-10年,20k-40k,B轮,全职,待遇好，福利好,综合管理总监,"""节日礼物"",""带薪年假"",""岗位晋升"",""年度旅游"""
北京瑞友科技股份有限公司,北京瑞友,上海,2000人以上,本科,3-5年,15k-18k,上市公司,全职,大型外企 无加班 发展空间大,创始人CEO,
松果体（深圳）科技有限公司,松果体科技,深圳,15-50人,本科,1-3年,15k-30k,天使轮,全职,精锐AI团队、年度旅行、周末双休、入职3万装备,高级软件工程师（算法/c++/go/python）,"""年底双薪"",""带薪年假"",""交通补助"",""定期体检"""
智线云科技（北京）有限公司,ZingFront智线,北京,50-150人,本科,1-3年,12k-20k,A轮,全职,六险一金 办公环境优 氛围好 晋升空间大,python后端开发工程师,"""绩效奖金"",""股票期权"",""领导好"",""扁平管理"""
北京小懂科技有限公司,小懂健康,北京,50-150人,大专,3-5年,13k-25k,天使轮,全职,发展平台及空间,python运维开发工程师,
广州嘉为科技有限公司,嘉为科技,广州,500-2000人,本科,1-3年,11k-16k,A轮,全职,带薪年假 晋升体系餐补 通讯补贴 季度调薪,Python高级开发工程师,
成都思而科软件有限公司,思而科,成都,150-500人,本科,3-5年,10k-18k,未融资,全职,五险一金 年终奖 餐补 下午茶,Python后台研发工程师,"""带薪年假"",""绩效奖金"",""领导好"",""帅哥多"""
上海基分文化传播有限公司,趣头条,上海,500-2000人,本科,3-5年,20k-40k,上市公司,全职,"五险一金,弹性工作,绩效奖金",Python架构师,"""专项奖金"",""带薪年假"",""弹性工作"",""管理规范"""
云势天下（北京）软件有限公司,云势软件,北京,150-500人,本科,3-5年,18k-25k,B轮,全职,六险一金；扁平化管理；超长年假+带薪病假,python后端开发工程师,"""年底双薪"",""专项奖金"",""绩效奖金"",""带薪年假"""
北京融通利达科技有限公司,融通利达,北京,50-150人,本科,不限,20k-40k,不需要融资,全职,多元化的团队，管午晚餐、住房补贴,Python 开发工程师,"""弹性办公"",""可远程办公"",""五险一金"",""住房补贴"""
中国信息通信研究院,中国信通院,北京,2000人以上,本科,3-5年,20k-30k,不需要融资,全职,"发展空间大,工作氛围好,各种团建",Python 后端工程师,"""年终分红"",""绩效奖金"",""带薪年假"",""午餐补助"""
上海弘连网络科技有限公司,弘连网络,上海,50-150人,本科,1-3年,8k-15k,未融资,全职,弹性工作、内部培训、技术挑战、优秀团队,python后端开发工程师,"""技能培训"",""绩效奖金"",""定期体检"",""五险一金"""
深圳佑驾创新科技有限公司,MINIEYE,深圳,150-500人,本科,1-3年,15k-30k,C轮,全职,"无人驾驶,海归团队,车厂合作,扁平管理",python研发工程师,"""无人驾驶"",""国际标准"",""车厂合作"",""海归团队"""
松果体（深圳）科技有限公司,松果体科技,深圳,15-50人,本科,1-3年,15k-30k,天使轮,全职,精锐AI团队、年度旅行、周末双休、入职3万装备,python后端开发工程师,"""年底双薪"",""带薪年假"",""交通补助"",""定期体检"""
上海海万信息科技股份有限公司,海万科技,上海,500-2000人,本科,3-5年,14k-20k,不需要融资,全职,"节日礼金,体检旅游,五险一金",python研发工程师,
亿达信息技术有限公司,亿达信息,深圳,2000人以上,本科,1-3年,11k-15k,上市公司,全职,开发,Python开发工程师（贵阳）,
广州市派客朴食信息科技有限责任公司,派客朴食,广州,150-500人,大专,1-3年,9k-15k,不需要融资,全职,地铁上盖、节假日福利、五险一金,金融数据Python开发工程师（武汉）,
中电金信软件有限公司,中电金信,北京,2000人以上,本科,3-5年,13k-20k,不需要融资,全职,科技开发注重技术提升,python,"""带薪年假"",""定期体检"",""节日礼物"",""五险一金"""
深圳市瑞云科技有限公司,瑞云科技,深圳,150-500人,本科,1-3年,10k-14k,C轮,全职,带薪休假、年终奖金、发展空间大、周末双休,HRBP,"""带薪年假"",""绩效奖金"",""岗位晋升"",""年度旅游"""
深圳市瑞云科技有限公司,瑞云科技,深圳,150-500人,本科,1-3年,8k-12k,C轮,全职,甲方自研产品、发展进步空间大，优质团队,招聘专员,"""带薪年假"",""绩效奖金"",""岗位晋升"",""年度旅游"""
和美（深圳）信息技术股份有限公司,和美信息,深圳,500-2000人,本科,3-5年,10k-15k,不需要融资,全职,人工智能前沿业务场景、机器学习、NLP,COO,"""带薪年假"",""午餐补助"",""绩效奖金"",""定期体检"""
杭州安恒信息技术股份有限公司,安恒信息,杭州,2000人以上,本科,在校/应届,3k-5k,上市公司,全职,六险一金，带薪年假事病假，节日福利,HR,"""年终分红"",""股票期权"",""绩效奖金"",""五险一金"""
圆通速递有限公司,圆通,杭州,2000人以上,大专,3-5年,15k-30k,上市公司,全职,"上市公司,前景好,氛围好,调薪机会多",技术总监,"""技能培训"",""免费班车"",""专项奖金"",""岗位晋升"""
北京音娱时光科技有限公司,音娱时光,北京,50-150人,本科,1-3年,20k-30k,B轮,全职,双榜****；工程师文化；自由开放,招聘官,"""年底双薪"",""绩效奖金"",""带薪年假"",""免费健身"""
上海甄士信息科技有限公司,甄士信息,上海,150-500人,本科,3-5年,12k-16k,未融资,全职,核心项目,招聘,
深圳市有传科技有限公司,深圳市有传科技有限公司,深圳,150-500人,本科,3-5年,15k-23k,天使轮,全职,高成长 团队氛围佳,助理,
上海有梦国际贸易有限公司,ICY全球设计师平台,上海,50-150人,本科,3-5年,15k-25k,B轮,全职,全勤奖、餐补、弹性工作、晋升空间,联合创始人,"""股票期权"",""午餐补助"",""定期体检"",""专项奖金"""
北京鲸航科技有限公司,鲸航科技,北京,50-150人,本科,不限,15k-30k,A轮,全职,发展空间大,HR,"""股票期权"",""带薪年假"",""扁平管理"",""美女多"""
上海快仓智能科技有限公司,快仓智能仓储,上海,150-500人,本科,1-3年,10k-20k,C轮,全职,行业前景好 发展空间大,HR,"""股票期权"",""五险一金"",""弹性工作"",""午餐补助"""
深圳市有传科技有限公司,深圳市有传科技有限公司,深圳,150-500人,本科,3-5年,15k-23k,天使轮,全职,高成长 团队氛围佳,,
武汉极意网络科技有限公司,极验,武汉,50-150人,本科,3-5年,15k-30k,B轮,全职,"团队超棒,产品超酷,AI,极客范",产品 Leader,"""股票期权"",""绩效奖金"",""交通补助"",""带薪年假"""
深圳市有传科技有限公司,深圳市有传科技有限公司,深圳,150-500人,本科,1-3年,15k-20k,天使轮,全职,弹性工作 双休,HR,
深圳为华网络科技有限公司,为华网络,深圳,500-2000人,本科,3-5年,15k-30k,未融资,全职,带薪年假，绩效奖金、交通便利，大平台,HRM,
一网互通（北京）科技有限公司,一网互通,北京,50-150人,本科,3-5年,20k-30k,A轮,全职,餐补，补充医疗等,Django/Python/后端开发,"""午餐补助"",""带薪年假"",""定期体检"",""弹性工作"""
深圳杉谷科技有限公司,杉谷科技,深圳,15-50人,本科,1-3年,10k-20k,天使轮,全职,从事AI前沿技术研发并成为该领域开拓者,python开发工程师,"""股票期权"",""五险一金"",""岗位晋升"",""年底双薪"""
北京艨艟信息技术有限公司,GamesVessel,北京,50-150人,本科,1-3年,15k-25k,不需要融资,全职,一家闷声赚大钱的出海公司,Python开发,"""定期体检"",""绩效奖金"",""弹性工作"",""扁平管理"""
深圳小安时代互联网金融服务有限公司,小安时代,深圳,150-500人,本科,1-3年,10k-18k,B轮,全职,扁平化管理 互联网 氛围好,python开发工程师,"""绩效奖金"",""带薪年假"",""定期体检"",""扁平管理"""
深圳市沃信科技有限公司,沃信科技,深圳,50-150人,本科,1-3年,10k-15k,未融资,全职,双休、下午茶 、 团建出游、氛围nice,高级python开发工程师,"""年底双薪"",""定期体检"",""绩效奖金"",""领导好"""
北京第三石科技发展有限公司,第三石科技,北京,50-150人,本科,3-5年,18k-36k,B轮,全职,"前沿技术,丰富下午茶,弹性工作,扁平管理",python工程师（实习岗）,"""股票期权"",""交通补助"",""带薪年假"",""扁平管理"""
北京第三石科技发展有限公司,第三石科技,北京,50-150人,本科,1-3年,13k-25k,B轮,全职,平台好 高精尖技术氛围,中级Python开发工程师,"""股票期权"",""交通补助"",""带薪年假"",""扁平管理"""
上海华钦信息科技股份有限公司,CLPS,上海,500-2000人,本科,3-5年,16k-25k,上市公司,全职,"待遇高,环境好,有前景",Python开发工程师-安全方向,"""专项奖金"",""带薪年假"",""定期体检"",""交通补助"""
上海合阔信息技术有限公司,合阔信息,上海,50-150人,本科,3-5年,18k-35k,B轮,全职,全额缴纳五险一金，市区地铁口,python开发工程师,"""年底双薪"",""带薪年假"",""定期体检"",""老板nice"""
上海合阔信息技术有限公司,合阔信息,上海,50-150人,本科,3-5年,15k-25k,B轮,全职,市区地铁口 全额五险一金 双休,devops高级python——基础研发,"""年底双薪"",""带薪年假"",""定期体检"",""老板nice"""
北京奥式生活科技股份有限公司,奥式生活,北京,50-150人,本科,3-5年,15k-30k,未融资,全职,五险一金、餐补、弹性打卡,Python后台开发工程师,
上海趋佳信息科技有限公司,Each+,郑州,50-150人,本科,1-3年,10k-15k,未融资,全职,高薪水+五险一金+双休+不定期团建,课程设计（Python/图形化/数学/艺术）,"""年底双薪"",""定期体检"",""带薪年假"",""年度旅游"""
北京瑞友科技股份有限公司,北京瑞友,上海,2000人以上,大专,3-5年,13k-16k,上市公司,全职,做五休二 五险一金 年终奖,python爬虫工程师,
深圳百兆安合信息技术有限公司,百兆安合,深圳,50-150人,大专,3-5年,15k-25k,不需要融资,全职,平台好 待遇优 发展前景大,python爬虫工程师,
北京嘉和美康信息技术有限公司,嘉和美康,北京,500-2000人,本科,3-5年,15k-20k,D轮及以上,全职,医疗大数据 前沿技术 大咖云集 升职加薪,Python讲师,"""管理人性化"",""培训全面化"",""晋升机会多"",""技术大牛多"""
北京中科睿见科技有限公司,中科睿见,北京,15-50人,本科,1-3年,12k-24k,B轮,全职,五险一金 年终奖 双休 带薪年假,python,"""弹性工作"""
北京高梓行远科技有限公司,Lespark,广州,50-150人,本科,1-3年,10k-20k,A轮,全职,餐补、旅游、弹性工作、发展好、股权期权,招聘经理,"""节日礼物"",""专项奖金"",""带薪年假"",""扁平管理"""
微诺（深圳）科技有限公司,微诺,深圳,50-150人,本科,3-5年,15k-30k,不需要融资,全职,腾讯系、福利好、近地铁、办公环境优美,CEO 联合创始人,"""带薪年假"",""定期体检"",""扁平管理"""
微诺（深圳）科技有限公司,微诺,深圳,50-150人,本科,5-10年,20k-40k,不需要融资,全职,腾讯系、福利好、近地铁、办公环境优美,HR,"""带薪年假"",""定期体检"",""扁平管理"""
深圳市法本信息技术股份有限公司,法本信息,北京,2000人以上,本科,3-5年,10k-17k,上市公司,全职,周末双休、40元/h加班费、打车报销,Head of People,
上海纳纳科技有限公司,纳纳科技,上海,50-150人,本科,3-5年,18k-25k,不需要融资,全职,平台稳 项目好 氛围佳 福利多,HR,"""年底双薪"",""专项奖金"",""交通补助"",""定期体检"""
北京欣川科技发展有限公司,欣川科技,北京,15-50人,本科,1-3年,9k-14k,天使轮,全职,平台好，技术新，团队帮，大牛带,HR,"""扁平管理"",""技能培训"",""弹性工作"",""领导好"""
上海致宇信息技术有限公司,致宇信息,上海,150-500人,大专,3-5年,15k-20k,不需要融资,全职,周末双休,HR,"""股票期权"",""绩效奖金"",""专项奖金"",""年底双薪"""
建顺信息科技（广州）有限公司,建顺信息,广州,50-150人,本科,1-3年,8k-12k,B轮,全职,香港及新加坡、马来西亚、泰国均设有分公司,,"""带薪年假"",""弹性工作"",""领导好"",""五险一金"""
西安智园软件开发管理有限公司,Wisdom Garden,西安,50-150人,不限,3-5年,9k-15k,A轮,全职,扁平化；弹性；大牛当buddy；福利棒,,"""敏捷开发"",""Mac高配"",""六险一金"",""扁平化管理"""
上海众言网络科技有限公司,问卷网@众言科技,上海,150-500人,本科,1-3年,12k-18k,C轮,全职,项目奖金 周末双休 年度调薪 带薪年假,招聘主管,"""技能培训"",""节日礼物"",""年底双薪"",""绩效奖金"""
深圳市瑞云科技有限公司,瑞云科技,深圳,150-500人,本科,1-3年,10k-14k,C轮,全职,带薪休假、年终奖金、发展空间大、周末双休,HR,"""带薪年假"",""绩效奖金"",""岗位晋升"",""年度旅游"""
