公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
深圳云天励飞技术股份有限公司,云天励飞,深圳,500-2000人,本科,3-5年,15k-30k,B轮,全职,"发展快,年终奖,人工智能",python开发工程师,"""节日礼物"",""带薪年假"",""年度旅游"",""开放务实"""
广州中康资讯股份有限公司,中康资讯,广州,150-500人,本科,3-5年,15k-25k,不需要融资,全职,发展前景 团队实力,python开发工程师,"""扁平管理"",""岗位晋升"",""五险一金"",""绩效奖金"""
四川安洵信息技术有限公司,安洵信息,成都,150-500人,大专,1-3年,6k-10k,A轮,全职,发展空间大 大牛多 氛围好 双休,python开发工程师,
上海领鸟信息科技有限公司,领鸟云,上海,15-50人,本科,1-3年,10k-20k,天使轮,全职,团队氛围融洽，简单开放,python开发工程师,
深圳小步网络科技有限公司,小步网络,深圳,150-500人,本科,3-5年,15k-30k,B轮,全职,业务好已盈利牛人多氛围nice下午茶运动日,python开发工程师,"""股票期权"",""定期体检"",""下午茶"",""年度旅游"""
掌阅科技股份有限公司,掌阅,北京,500-2000人,本科,在校/应届,15k-25k,上市公司,全职,"下午茶, 瑜伽健身, 六险一金, 餐补",python开发工程师,"""专项奖金"",""带薪年假"",""年度旅游"",""扁平管理"""
上海清鹤科技股份有限公司,清鹤科技,上海,150-500人,本科,1-3年,12k-20k,上市公司,全职,五险一金；绩效奖金；带薪年假；节日福利,Python开发工程师,"""专项奖金"",""绩效奖金"",""股票期权"",""午餐补助"""
上海清鹤科技股份有限公司,清鹤科技,上海,150-500人,本科,1-3年,12k-20k,上市公司,全职,五险一金；绩效奖金；带薪年假；节日福利,python,"""专项奖金"",""绩效奖金"",""股票期权"",""午餐补助"""
蜂助手股份有限公司,蜂助手,广州,150-500人,本科,1-3年,8k-12k,D轮及以上,全职,"薪资福利齐,氛围活跃好,团队健全",,"""节日礼物"",""年底双薪"",""技能培训"",""绩效奖金"""
普华永道信息技术（上海）有限公司,PwC,上海,500-2000人,本科,3-5年,12k-24k,未融资,全职,外企平台 技术前沿 灵活办公 交通便捷,,"""年底双薪"",""交通补助"",""绩效奖金"",""午餐补助"""
达而观信息科技（上海）有限公司,达观数据,苏州,150-500人,本科,1-3年,11k-22k,B轮,全职,公司发展稳定、独角兽、待遇丰厚、产品线多,HR,"""AI人工智能"",""NLP"",""技术领先"",""市场口碑佳"""
埃克斯工业（广东）有限公司,埃克斯工业,苏州,50-150人,大专,3-5年,12k-20k,A轮,全职,技术大牛 创新科技企业 团队氛围好,人力经理,
广州英荔教育科技有限公司,英荔教育,广州,50-150人,本科,1-3年,9k-18k,不需要融资,全职,双休 带薪假 年假 晋升大 气氛融洽,HRM,"""年底双薪"",""午餐补助"",""带薪年假"",""五险一金"""
北京缔联科技有限公司,缔联科技,北京,50-150人,本科,3-5年,15k-25k,B轮,全职,财税领域，公司自有产品，下午茶零食,人事部总监,"""年底双薪"",""节日礼物"",""年度旅游"",""岗位晋升"""
北京缔联科技有限公司,缔联科技,北京,50-150人,本科,3-5年,15k-25k,B轮,全职,跟技术大牛一起遨游，下午茶零食,技术总监,"""年底双薪"",""节日礼物"",""年度旅游"",""岗位晋升"""
上海江煦信息科技有限公司,上海江煦信息科技,上海,15-50人,本科,不限,10k-20k,不需要融资,全职,俊男美女，弹性工作，福利多多,项目经理,
蓝盾信息安全技术股份有限公司,蓝盾信息安全技术股份有限公司,广州,500-2000人,本科,1-3年,13k-25k,上市公司,全职,五险一金 带薪年假 补充医疗保险 体检,研发主管,"""技能培训"",""节日礼物"",""绩效奖金"",""岗位晋升"""
北京三快在线科技有限公司,美团,北京,2000人以上,不限,不限,25k-45k,上市公司,全职,精英团队，成长快,招聘,"""技能培训"",""绩效奖金"",""岗位晋升"",""领导好"""
